Date,priceUSD,transactions,size,sentbyaddress,difficulty,hashrate,mining_profitability,sentinusdUSD,transactionfeesUSD,median_transaction_feeUSD,confirmationtime,transactionvalueUSD,mediantransactionvalueUSD,activeaddresses,top100cap,fee_to_rewardUSD,Open,High,Low,Close,Adj Close,Volume
04-07-2016,668.624,213749,739244,289733,2.09558E+11,1.59E+18,1.608,1242596531,0.173,0.0852,9.536,8120,200.473,441260,19.049,1.441,658.804016,683.661987,650.507996,683.661987,683.661987,92008400
05-07-2016,669.77,214814,789077,285564,2.13399E+11,1.45E+18,1.697,1052637721,0.174,0.0867,9.931,6395,181.323,426264,19.076,1.519,683.208984,683.491028,665.065979,670.627014,670.627014,130476000
06-07-2016,670.711,214551,797465,282272,2.13399E+11,1.58E+18,1.512,978686263,0.174,0.0882,10.286,6365,170.971,391335,19.084,1.567,670.41803,681.89801,670.41803,677.330994,677.330994,134960992
07-07-2016,640.923,215411,821418,281849,2.13399E+11,1.50E+18,1.487,1391821840,0.168,0.0854,10.511,8465,178.018,390884,19.117,1.624,678.090027,682.432007,611.833984,640.562012,640.562012,258091008
08-07-2016,644.648,210556,779762,271415,2.13399E+11,1.50E+18,1.585,1037900194,0.175,0.0844,9.931,7002,184.772,398382,19.279,1.556,640.687988,666.70697,636.46698,666.52301,666.52301,141970000
09-07-2016,649.595,185256,657970,250182,2.13399E+11,1.56E+18,1.32,870245397,0.166,0.0873,9.664,6621,140.04,396352,19.233,1.495,666.383972,666.383972,633.398987,650.960022,650.960022,180536000
10-07-2016,645.327,162452,585731,233709,2.13399E+11,1.65E+18,0.78,697759476,0.153,0.0845,9.231,6042,128.633,348927,19.242,1.941,650.598999,652.294006,641.263977,649.359985,649.359985,102532000
11-07-2016,646.33,217946,793204,285819,2.13399E+11,1.56E+18,0.764,939261682,0.17,0.0869,10.07,6591,201.352,429180,19.24,3.11,648.484009,659.629028,644.97998,647.658997,647.658997,107910000
12-07-2016,653.631,218891,775743,289119,2.13399E+11,1.54E+18,0.78,1021453097,0.153,0.0784,10.07,6905,163.146,392187,19.24,2.785,648.28302,675.258972,646.778992,664.551025,664.551025,138172992
13-07-2016,659.574,216374,819940,282826,2.13399E+11,1.49E+18,0.739,935077735,0.162,0.0886,11.163,6865,196.125,362818,19.302,3.195,664.796997,668.700012,654.468018,654.468018,654.468018,131449000
14-07-2016,655.688,217554,798355,281682,2.13399E+11,1.41E+18,0.849,829926530,0.173,0.0855,10.213,6316,188.938,398175,19.347,3.161,652.922974,662.901978,652.922974,658.078003,658.078003,98511400
15-07-2016,658.89,215946,790134,282033,2.13399E+11,1.39E+18,0.824,1428560625,0.169,0.087,10.667,10215,216.696,391889,19.359,3.171,659.171021,667.077026,659.039978,663.255005,663.255005,81673104
16-07-2016,660.703,182035,688396,250710,2.13399E+11,1.63E+18,0.817,862870923,0.184,0.0844,9.172,7128,165.414,410103,19.308,2.519,663.781006,666.460022,659.333984,660.767029,660.767029,50330200
17-07-2016,667.464,170864,709273,233619,2.13399E+11,1.64E+18,0.779,1031829938,0.187,0.0859,9.664,8022,157.608,371105,19.225,2.508,661.992981,682.36499,661.992981,679.458984,679.458984,74407904
18-07-2016,675.134,222687,819013,285513,2.13402E+11,1.60E+18,0.805,949529710,0.179,0.0915,9.73,6891,227.995,424993,19.234,3.096,679.809021,681.554993,668.625,673.106018,673.106018,69465000
19-07-2016,668.951,222018,860706,282138,2.13493E+11,1.48E+18,0.754,982620651,0.186,0.0907,11.25,7646,238.024,395388,19.171,3.724,672.737976,673.276978,667.632019,672.864014,672.864014,61203300
20-07-2016,667.413,227279,798701,289388,2.13493E+11,1.52E+18,0.853,994832093,0.189,0.0905,9.6,7209,210.515,397145,19.233,3.312,672.80603,672.929016,663.359985,665.684998,665.684998,94636400
21-07-2016,662.495,217473,809190,277580,2.13493E+11,1.45E+18,0.789,934640906,0.184,0.0907,10.827,6719,234.571,413155,19.241,3.509,665.228027,666.218994,660.414978,665.012024,665.012024,60491800
22-07-2016,659.521,221275,863906,285242,2.13493E+11,1.42E+18,0.777,985765634,0.194,0.104,11.163,7212,247.283,406649,19.3,3.888,664.921997,666.583008,646.721985,650.619019,650.619019,134169000
23-07-2016,653.666,195665,826219,254801,2.13493E+11,1.34E+18,0.831,735476332,0.201,0.103,10.992,6123,207.8,395233,19.299,3.539,650.726013,656.366028,648.523987,655.55603,655.55603,69532200
24-07-2016,656.306,183766,791469,247608,2.13493E+11,1.37E+18,0.765,901069996,0.182,0.0935,11.613,6616,196.826,373150,19.364,3.182,655.409973,663.109985,652.79303,661.284973,661.284973,118184000
25-07-2016,656.119,239584,909912,304986,2.13493E+11,1.41E+18,0.795,782737114,0.191,0.104,10.992,5283,207.107,442602,19.321,4.086,661.263,661.828003,653.39502,654.096985,654.096985,78176496
26-07-2016,651.943,237544,922964,306672,2.13493E+11,1.37E+18,0.799,1081556485,0.194,0.103,11.163,6337,229.058,445910,19.336,4.208,654.226013,656.224976,645.879028,651.783997,651.783997,225135008
27-07-2016,652.979,235475,921705,298171,2.13493E+11,1.35E+18,0.808,1156462939,0.208,0.113,11.25,6971,239.752,427092,19.307,4.475,651.627014,657.455994,648.447021,654.35199,654.35199,147460992
28-07-2016,654.826,234727,875161,300770,2.13493E+11,1.40E+18,0.83,1065131519,0.2,0.105,10.588,6935,231,422943,19.245,4.045,654.492004,657.594971,654.492004,655.034973,655.034973,86428400
